problem,precision,strategy,log10s,p25_regret,median_regret,p75_regret,chol_frac,fitfail_frac,mean_median_offdiag,mean_frac_underflow,mean_ls_scaled,mean_ls_unscaled
Branin,float64,UCB,3.0,0.008615912305001028,0.03076795476961791,0.5492052605427177,0.0,0.0,0.18848490712873475,0.06389986968909701,175.60133362457302,0.4704707121459342
Branin,float64,UCB,3.5,0.08323406215360662,0.44832235126588216,1.5591145197831642,0.0,0.0,0.12543946592548116,0.2362318865954876,449.36202676281863,0.5831139003656439
Branin,float64,UCB,4.0,0.2815549003529271,1.2391335072054792,1.9155009480629737,0.0,0.0,0.035877793946176316,0.7031620562076568,451.9427227019048,0.5949211630134332
Branin,float64,UCB,4.5,0.249240472205856,1.4257477649306898,2.2640212943880256,0.0,0.0,0.0008896443447245684,0.9509881438997885,120.51257963613175,0.6298388275674853
Branin,float64,UCB,5.0,1.2391335072054792,2.131395321441161,3.1593737592122837,0.0,0.0,0.0,0.9981554706891378,0.4880935218201677,0.36294516531163673
Branin,float64,Random,3.0,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float64,Random,3.5,0.41247855938475275,1.602871213847985,2.8026057991917774,0.0,0.0,nan,nan,nan,nan
Branin,float64,Random,4.0,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float64,Random,4.5,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float64,Random,5.0,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float32,UCB,3.0,0.15450511542080825,0.5530173391289218,1.241629255235762,0.0,0.0,0.0607933709397912,0.6011857728163401,63.77585386236509,0.6116791884104411
Branin,float32,UCB,3.5,0.524096274591355,1.7776201545262102,4.429820061574541,0.23333333333333334,0.0,0.016863251725832622,0.8782608668009441,53.27967234154542,0.8256196374694507
Branin,float32,UCB,4.0,0.2711085050626608,1.233504194798372,2.0035300050621174,0.13333333333333333,0.0,0.0,0.9652832706769308,15.12445322672526,9.51497125327587
Branin,float32,UCB,4.5,0.9854334748410282,2.7617364632017427,3.6062678331193494,0.03333333333333333,0.0,0.0,0.9890645603338878,8.367371466755866,3.552514362335205
Branin,float32,UCB,5.0,1.074756843348628,1.7452484748085721,3.997135064686275,0.0,0.0,0.0,0.9990777333577474,0.6413556059201558,0.4648450454076131
Branin,float32,Random,3.0,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float32,Random,3.5,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float32,Random,4.0,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float32,Random,4.5,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
Branin,float32,Random,5.0,0.41247855938475275,1.602871213847985,2.802605799191759,0.0,0.0,nan,nan,nan,nan
