problem,precision,strategy,log10s,p25_regret,median_regret,p75_regret,chol_frac,fitfail_frac,mean_median_offdiag,mean_frac_underflow,mean_ls_scaled,mean_ls_unscaled
Hartmann6,float64,UCB,0.0,0.17222543486665964,0.26208082766031193,0.5248218257124901,0.0,0.0,0.1493774946064714,0.0,0.6731288832454552,0.4257123226954947
Hartmann6,float64,UCB,0.5,0.1693103525707289,0.2820748063763179,0.5072612374715617,0.0,0.0,0.16619289767256568,0.0,1.6852774703024538,0.43220910662182643
Hartmann6,float64,UCB,1.0,0.20446981081422955,0.29264878473603906,0.7082877164708083,0.0,0.0,0.14597489489993223,0.02422938970848918,4.47691392889907,0.416196630304716
Hartmann6,float64,UCB,1.5,0.3496461575445977,0.9810538358208136,1.6308612600349894,0.0,0.0,0.013355061593012781,0.4341218624574443,5.196868157103186,0.4828232276945411
Hartmann6,float64,UCB,2.0,1.533882976769306,1.7984716105253704,2.2190362885252437,0.0,0.0,0.0,0.9952688217163086,0.5105671497422798,0.505273214242005
Hartmann6,float64,UCB,2.5,1.6361181562386746,2.018551518710152,2.1696709041278712,0.0,0.0,0.0,0.9978494644165039,0.5016229154778066,0.5016229154803791
Hartmann6,float64,UCB,3.0,1.6213102615481503,1.99364588205015,2.220196942764054,0.0,0.0,0.0,0.9978494644165039,0.5016229155073889,0.5016229154814278
Hartmann6,float64,Random,0.0,1.442531554117679,1.7332912045648605,2.2190362885252437,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,0.5,1.442531554117679,1.7332912045648605,2.2190362885252437,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,1.0,1.442531554117679,1.7332912045648605,2.2190362885252437,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,1.5,1.442531554117679,1.7332912045648605,2.2190362885252437,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,2.0,1.442531554117679,1.7332912045648605,2.2190362885252437,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,2.5,1.442531554117679,1.7332912045648605,2.2190362885252437,0.0,0.0,nan,nan,nan,nan
Hartmann6,float64,Random,3.0,1.442531554117679,1.7332912045648605,2.2190362885252437,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,UCB,0.0,0.19493179973383512,0.25236756178068376,0.5112164230463159,0.0,0.0,0.12630677906175455,0.0,0.7278813372055689,0.6731369202335675
Hartmann6,float32,UCB,0.5,0.18532574274641966,0.25556416845297747,0.4909391374119081,0.0,0.0,0.16755686262622477,0.005734767019748688,1.6176904718081155,0.4312239021062851
Hartmann6,float32,UCB,1.0,0.14438837876686916,0.19705571757842577,0.49127846542115083,0.0,0.0,0.10662108544105044,0.02236559094550709,4.373556101322174,0.4848684772849083
Hartmann6,float32,UCB,1.5,1.3903159216832344,1.6593790542033229,1.98696285279565,0.0,0.0,0.0013150000238572955,0.7658064514398575,2.237100076675415,0.7087541172901789
Hartmann6,float32,UCB,2.0,1.4555586426882516,1.7959258881233717,2.0850278248619363,0.0,0.0,0.0,0.996129035949707,0.48629844238360725,0.4972234090169271
Hartmann6,float32,UCB,2.5,1.5977542158908125,1.800422730372003,2.2540353715443273,0.0,0.0,0.0,0.9954121887683869,1.1538398613532383,0.5079490741093954
Hartmann6,float32,UCB,3.0,1.5977542029349803,1.8423243073521995,2.254035381337321,0.0,0.0,0.0,0.9979211489359537,0.5030140807231267,0.5016229192415873
Hartmann6,float32,Random,0.0,1.442531554117679,1.7332912045648605,2.219036372098498,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,0.5,1.4425314736845833,1.7332912045648605,2.219036372098498,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,1.0,1.442531554117679,1.7332912045648605,2.219036372098498,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,1.5,1.442531554117679,1.7332912298994783,2.219036372098498,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,2.0,1.442531554117679,1.7332911661137862,2.219036372098498,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,2.5,1.442531554117679,1.7332912045648605,2.219036372098498,0.0,0.0,nan,nan,nan,nan
Hartmann6,float32,Random,3.0,1.442531554117679,1.7332912045648605,2.2190363821283263,0.0,0.0,nan,nan,nan,nan
